1 , 0
2 , 4
3 , 4
4 , 8
5 , 8
6 , 20
7 , 24
8 , 32
9 , 32
10 , 52
11 , 52
12 , 52
13 , 56
14 , 56
15 , 64
16 , 72
17 , 80
18 , 96
19 , 132
20 , 136
21 , 144
22 , 148
23 , 156
24 , 156
25 , 156
26 , 176
27 , 176
28 , 188
29 , 188
30 , 192
31 , 200
32 , 220
33 , 220
34 , 256
35 , 332
36 , 332
37 , 332
38 , 336
39 , 344
40 , 348
41 , 348
42 , 368
43 , 376
44 , 380
45 , 380
46 , 384
47 , 392
48 , 392
49 , 396
50 , 400
51 , 424
52 , 424
53 , 428
54 , 436
55 , 456
56 , 488
57 , 488
58 , 492
59 , 496
60 , 504
61 , 508
62 , 516
63 , 520
64 , 520
65 , 540
66 , 572
67 , 644
68 , 648
69 , 780
70 , 780
71 , 788
72 , 808
73 , 808
74 , 808
75 , 808
76 , 824
77 , 832
78 , 852
79 , 888
80 , 888
81 , 896
82 , 900
83 , 900
84 , 908
85 , 912
86 , 912
87 , 932
88 , 944
89 , 944
90 , 944
91 , 948
92 , 948
93 , 952
94 , 960
95 , 964
96 , 972
97 , 988
98 , 988
99 , 1028
100 , 1032
101 , 1096
102 , 1104
103 , 1108
104 , 1132
105 , 1148
106 , 1152
107 , 1184
108 , 1188
109 , 1196
110 , 1196
111 , 1196
112 , 1200
113 , 1204
114 , 1216
115 , 1216
116 , 1240
117 , 1244
118 , 1244
119 , 1248
120 , 1256
121 , 1272
122 , 1308
123 , 1316
124 , 1316
125 , 1384
126 , 1516
127 , 1772
128 , 1776
129 , 1796
130 , 1812
131 , 1812
132 , 1816
133 , 1816
134 , 1828
135 , 1844
136 , 1848
137 , 1888
138 , 1892
139 , 1892
140 , 1896
141 , 1904
142 , 1920
143 , 1924
144 , 1932
145 , 1932
146 , 1936
147 , 1940
148 , 1944
149 , 1952
150 , 1968
151 , 2000
152 , 2004
153 , 2012
154 , 2080
155 , 2080
156 , 2092
157 , 2092
158 , 2100
159 , 2104
160 , 2104
161 , 2104
162 , 2108
163 , 2120
164 , 2152
165 , 2188
166 , 2196
167 , 2196
168 , 2200
169 , 2200
170 , 2200
171 , 2212
172 , 2216
173 , 2232
174 , 2240
175 , 2244
176 , 2244
177 , 2248
178 , 2248
179 , 2248
180 , 2252
181 , 2260
182 , 2260
183 , 2284
184 , 2292
185 , 2328
186 , 2332
187 , 2404
188 , 2408
189 , 2432
190 , 2432
191 , 2436
192 , 2436
193 , 2436
194 , 2440
195 , 2444
196 , 2444
197 , 2456
198 , 2468
199 , 2468
